Current cigar usage,Female,Male,Total
Alabama,10.8,21.3,16.5
Alaska,4.6,9.2,7.3
Arizona,7.7,15.5,11.8
Arkansas,10.2,23.4,17.1
Connecticut,,,
Delaware,8.4,15.2,12
Florida,,,
Georgia,10.5,16.2,13.5
Hawaii,,,
Idaho,6.4,11.9,9.2
Illinois,8.6,18.7,14
Kansas,5.8,14.7,10.3
Kentucky,7.6,18.3,13.3
Louisiana,9.9,18.3,14.4
Maine,6.2,14.7,10.6
Maryland,8.7,15.5,12.5
Massachusetts,4.8,16.5,10.8
Michigan,6.6,14.5,10.7
Mississippi,11,16.3,13.6
Missouri,9.3,17,13.3
Montana,10.4,20.7,15.8
Nebraska,5.5,10.9,8.3
Nevada,7.1,11.1,9.2
New Hampshire,7.5,17.8,13
New Jersey,,,
New Mexico,8.1,16.3,12.3
New York,8.1,16,12.2
North Carolina,,,
North Dakota,6.4,16.6,11.7
Ohio,6.6,16.3,11.5
Oklahoma,9.2,18.4,13.9
Rhode Island,5.8,12.4,9.4
South Carolina,9.8,19.5,15
South Dakota,,,
Tennessee,10,20.3,15.3
Texas,9.4,17.8,13.7
Utah,2.7,5.2,4.1
Vermont,7.4,21.3,14.6
Virginia,8.2,13.8,11.3
West Virginia,8.9,17.8,13.4
Wisconsin,6.1,16.3,11.5
Wyoming,9.4,20.1,14.9